gameId,year,season,gameWeek,awayTeam.fullName,homeTeam.fullName,odds.spread,odds.total,,crowd.awayTeam.score,crowd.homeTeam.score,crowd.spread,crowd.total,crowd.results.winner.correct,crowd.results.winner.push,crowd.results.spread.correct,crowd.results.spread.push,crowd.results.total.correct,crowd.results.total.push,crowd.results.predictionScore,results.awayTeam.score,results.homeTeam.score,results.spread,results.total,startDateTime
1370681,2020,post,1,Los Angeles Rams,Seattle Seahawks,-3,42,,19.5,24.83,-5.33,44.33,0,0,0,0,1,0,2,30,20,10,50,2021-01-09T21:40:00.000Z
1370676,2020,post,1,Indianapolis Colts,Buffalo Bills,-6.5,51.5,,21.6,29.6,-8,51.2,1,0,0,0,1,0,4,24,27,-3,51,2021-01-09T18:05:00.000Z
1370701,2020,post,1,Chicago Bears,New Orleans Saints,-10,48,,19.14,30.57,-11.43,49.71,1,0,1,0,0,0,4,9,21,-12,30,2021-01-10T21:40:00.000Z
1370686,2020,post,1,Baltimore Ravens,Tennessee Titans,3,54.5,,28.71,27.86,0.86,56.57,1,0,0,0,0,0,2,20,13,7,33,2021-01-10T18:05:00.000Z
1370696,2020,post,1,Cleveland Browns,Pittsburgh Steelers,-6,47.5,,22,25.71,-3.71,47.71,0,0,1,0,1,0,4,48,37,11,85,2021-01-11T01:15:00.000Z
1370706,2020,post,1,Tampa Bay Buccaneers,Washington Football Team,8,44.5,,29.33,18.33,11,47.67,1,0,0,1,1,0,4,31,23,8,54,2021-01-10T01:15:00.000Z
1372811,2020,post,2,Cleveland Browns,Kansas City Chiefs,-10,57,,25.5,31.17,-5.67,56.67,1,0,1,0,1,0,6,17,22,-5,39,2021-01-17T20:05:00.000Z
1372776,2020,post,2,Los Angeles Rams,Green Bay Packers,-6.5,45.5,,19,26,-7,45,1,0,1,0,0,0,4,18,32,-14,50,2021-01-16T21:35:00.000Z
1372781,2020,post,2,Tampa Bay Buccaneers,New Orleans Saints,-3,52,,23.17,25.83,-2.67,49,0,0,1,0,1,0,4,30,20,10,50,2021-01-17T23:40:00.000Z
1372806,2020,post,2,Baltimore Ravens,Buffalo Bills,-2.5,49.5,,24,24.67,-0.67,48.67,1,0,0,0,1,0,4,3,17,-14,20,2021-01-17T01:15:00.000Z
1374746,2020,post,3,Buffalo Bills,Kansas City Chiefs,-3,54.5,,25.17,28.17,-3,53.33,1,0,0,0,0,0,2,24,38,-14,62,2021-01-24T23:40:00.000Z
1374751,2020,post,3,Tampa Bay Buccaneers,Green Bay Packers,-3.5,52,,24.17,27.5,-3.33,51.67,0,0,1,0,0,0,2,31,26,5,57,2021-01-24T20:05:00.000Z
1376416,2020,post,4,Kansas City Chiefs,Tampa Bay Buccaneers,3,56,,27,25.4,1.6,52.4,0,0,1,0,1,0,4,9,31,-22,40,2021-02-07T23:30:00.000Z